Class,Accuracy,Samples
Apple 10,1.0,231
Apple 11,1.0,142
Apple 12,1.0,154
Apple 13,1.0,231
Apple 14,1.0,154
Apple 17,1.0,243
Apple 18,1.0,242
Apple 19,1.0,241
Apple 5,1.0,146
Apple 7,1.0,229
Apple 8,1.0,228
Apple 9,1.0,231
Apple Core 1,1.0,156
Apple Red Yellow 2,1.0,225
Apple worm 1,1.0,231
Avocado Black 1,1.0,231
Avocado Black 2,1.0,246
Avocado Green 1,1.0,231
Banana 3,1.0,77
Banana 4,1.0,84
Beans 1,1.0,77
Blackberrie 1,1.0,150
Blackberrie 2,1.0,75
Blackberrie half rippen 1,1.0,150
Blackberrie not rippen 1,1.0,231
Cabbage red 1,1.0,49
Cactus fruit green 1,1.0,231
Cactus fruit red 1,1.0,237
Caju seed 1,1.0,75
Cherimoya 1,1.0,320
Cherry 3,1.0,231
Cherry 4,1.0,231
Cherry 5,1.0,228
Cherry Rainier 2,1.0,231
Cherry Rainier 3,1.0,228
Cherry Sour 1,1.0,150
Cherry Wax Red 2,1.0,150
Cherry Wax Red 3,1.0,150
Cherry Wax not ripen 1,1.0,225
Cherry Wax not ripen 2,1.0,76
Cucumber 1,1.0,50
Cucumber 10,1.0,240
Cucumber 11,1.0,78
Cucumber 3,1.0,161
Cucumber 4,1.0,76
Cucumber 5,1.0,234
Cucumber 6,1.0,307
Cucumber 7,1.0,234
Cucumber 8,1.0,231
Cucumber 9,1.0,154
Ginger 2,1.0,144
Gooseberry 1,1.0,154
Grape not ripen 1,1.0,155
Nectarine Flat 2,1.0,153
Nut 1,1.0,80
Nut 2,1.0,79
Nut 3,1.0,79
Nut 4,1.0,79
Nut 5,1.0,80
Onion 2,1.0,255
Onion Red 2,1.0,237
Onion White Peeled 1,1.0,102
Papaya 2,1.0,240
Peach 3,1.0,306
Peach 4,1.0,240
Peach 5,1.0,240
Peach 6,1.0,237
Peanut shell 1x 1,1.0,52
Pear 1,1.0,162
Pear 10,1.0,231
Pear 11,1.0,231
Pear 12,1.0,156
Pear 13,1.0,240
Pear 3,1.0,72
Pear 5,1.0,233
Pear 6,1.0,233
Pear 7,1.0,235
Pear 8,1.0,231
Pear 9,1.0,308
Pear common 1,1.0,228
Pepper 2,1.0,158
Pepper Orange 2,1.0,235
Pepper Red 2,1.0,77
Pepper Red 3,1.0,156
Pepper Red 4,1.0,158
Pepper Red 5,1.0,236
Pistachio 1,1.0,231
Plum 4,1.0,231
Plum hole 1,1.0,225
Quince 2,1.0,240
Quince 3,1.0,242
Quince 4,1.0,249
Raspberry 2,1.0,145
Raspberry 3,1.0,147
Raspberry 4,1.0,150
Raspberry 5,1.0,75
Raspberry 6,1.0,150
Tomato 1,1.0,216
Tomato 10,1.0,228
Tomato 5,1.0,222
Tomato 7,1.0,231
Tomato 8,1.0,239
Tomato 9,1.0,239
Tomato Cherry Maroon 1,1.0,100
Tomato Cherry Orange 1,1.0,100
Tomato Cherry Red 2,1.0,100
Tomato Cherry Yellow 1,1.0,100
Tomato Maroon 2,1.0,147
Zucchini Green 1,1.0,47
Zucchini dark 1,1.0,127
apple_6,1.0,157
apple_braeburn_1,1.0,160
apple_crimson_snow_1,1.0,159
apple_golden_1,1.0,154
apple_golden_2,1.0,154
apple_golden_3,1.0,158
apple_granny_smith_1,1.0,160
apple_hit_1,1.0,234
apple_pink_lady_1,1.0,156
apple_red_1,1.0,154
apple_red_2,1.0,159
apple_red_3,1.0,140
apple_red_delicios_1,1.0,150
apple_red_yellow_1,1.0,154
apple_rotten_1,1.0,159
cabbage_white_1,1.0,47
carrot_1,1.0,50
eggplant_long_1,1.0,80
zucchini_1,1.0,80
